N_unmapped	1335136	1335136	1335136
N_multimapping	4217776	4217776	4217776
N_noFeature	8548976	22539730	8828378
N_ambiguous	856712	10310	364972
DDX11L1	0	0	0
WASH7P	53	0	53
MIR6859-1	4	0	4
MIR1302-2HG	1	1	0
MIR1302-2	0	0	0
FAM138A	0	0	0
OR4F5	0	0	0
LOC124903816	2	2	0
LOC124900384	4	0	4
LOC729737	182	3	179
LOC124903814	0	0	0
DDX11L17	1	1	0
WASH9P	54	0	54
MIR6859-2	0	0	0
LOC127239154	1	0	1
LOC124903815	0	0	0
LOC124900618	0	0	0
LOC112268260	0	0	0
OR4F29	0	0	0
LOC100132287	29	0	29
LOC124904706	0	0	0
LOC105378947	0	0	0
LOC101928626	0	0	0
MIR12136	0	0	0
OR4F16	0	0	0
LOC100288069	163	0	163
LINC01409	11	0	11
LOC124903817	47	28	19
FAM87B	15	15	0
LINC00115	21	0	21
LINC01128	102	0	102
LOC107984850	0	0	0
FAM41C	0	0	0
LOC284600	377	37	397
LINC02593	51	27	63
LOC107985728	78	6	87
SAMD11	171	156	238
NOC2L	1515	80	1654
KLHL17	325	3	322
PLEKHN1	40	0	40
PERM1	6	0	6
HES4	301	15	286
ISG15	208	0	208
AGRN	5421	21	5400
LOC100288175	12	9	17
LOC105378948	18	5	27
RNF223	3	0	3
C1orf159	122	7	115
LOC124903819	0	0	0
LOC124903820	9	9	0
LINC01342	11	0	11
MIR200BHG	21	0	21
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10-AS1	0	7	3
TTLL10	7	6	11
TNFRSF18	0	0	0
TNFRSF4	0	0	0
SDF4	641	0	641
B3GALT6	383	2	381
C1QTNF12	27	0	27
UBE2J2	582	0	582
LINC01786	19	0	19
SCNN1D	60	0	60
ACAP3	290	0	290
MIR6726	0	0	0
SNORD167	0	0	0
PUSL1	159	48	172
INTS11	871	77	855
MIR6727	0	0	0
CPTP	150	10	140
TAS1R3	24	33	0
DVL1	823	5	827
MIR6808	0	0	0
MXRA8	694	95	599
AURKAIP1	678	6	672
CCNL2	1996	0	1996
MRPL20-AS1	230	47	224
MRPL20	311	19	333
MRPL20-DT	210	1	209
ANKRD65	45	1	44
ANKRD65-AS1	5	0	5
TMEM278	39	1	40
LINC01770	7	2	19
LOC107985729	4	16	0
VWA1	588	9	579
ATAD3C	28	0	28
ATAD3B	714	0	714
ATAD3A	415	13	402
TMEM240	37	0	37
SSU72	1065	1	1064
SSU72-AS1	21	0	21
FNDC10	296	2	377
LOC105378586	0	81	2
MIB2	296	350	600
LOC124903821	52	481	225
MMP23B	42	0	42
CDK11B	368	22	346
SLC35E2B	1510	13	1497
MMP23A	0	0	0
CDK11A	134	6	128
SLC35E2A	592	14	578
LOC112268218	16	37	16
NADK	848	5	880
GNB1	5081	15	5066
GNB1-DT	20	6	14
LOC124903822	4	0	4
CALML6	0	0	0
